Sample Number (10000 samples per second),HR (mV)
0,339.0
1,339.0
2,339.0
3,339.0
4,339.0
5,338.0
6,339.0
7,338.0
8,338.0
9,338.0
10,338.0
11,338.0
12,338.0
13,339.0
14,339.0
15,339.0
16,338.0
17,339.0
18,338.0
19,338.0
20,338.0
21,338.0
22,338.0
23,338.0
24,338.0
25,338.0
26,339.0
27,338.0
28,338.0
29,338.0
30,338.0
31,338.0
32,338.0
33,339.0
34,339.0
35,339.0
36,339.0
37,339.0
38,339.0
39,339.0
40,338.0
41,338.0
42,338.0
43,338.0
44,338.0
45,338.0
46,338.0
47,338.0
48,339.0
49,339.0
50,338.0
51,338.0
52,338.0
53,338.0
54,338.0
55,338.0
56,339.0
57,339.0
58,338.0
59,338.0
60,338.0
61,338.0
62,338.0
63,338.0
64,339.0
65,339.0
66,339.0
67,339.0
68,339.0
69,339.0
70,339.0
71,339.0
72,339.0
73,339.0
74,339.0
75,339.0
76,339.0
77,339.0
78,339.0
79,339.0
80,339.0
81,339.0
82,339.0
83,339.0
84,339.0
85,339.0
86,339.0
87,339.0
88,339.0
89,339.0
90,338.0
91,338.0
92,338.0
93,339.0
94,339.0
95,339.0
96,338.0
97,338.0
98,339.0
99,339.0
100,339.0
101,339.0
102,339.0
103,338.0
104,338.0
105,338.0
106,338.0
107,338.0
108,338.0
109,338.0
110,338.0
111,338.0
112,338.0
113,338.0
114,338.0
115,338.0
116,338.0
117,338.0
118,338.0
119,338.0
120,339.0
121,339.0
122,339.0
123,339.0
124,339.0
125,339.0
126,339.0
127,339.0
128,339.0
129,339.0
130,339.0
131,339.0
132,338.0
133,338.0
134,338.0
135,339.0
136,339.0
137,339.0
138,339.0
139,339.0
140,339.0
141,339.0
142,339.0
143,339.0
144,339.0
145,339.0
146,339.0
147,339.0
148,339.0
149,339.0
150,338.0
151,338.0
152,338.0
153,338.0
154,338.0
155,338.0
156,334.0
157,330.0
158,370.0
159,412.0
160,486.0
161,505.0
162,316.0
163,247.0
164,489.0
165,662.0
166,662.0
167,662.0
168,662.0
169,662.0
170,662.0
171,662.0
